height_cm,weight_kg,body fat_%,sit-ups counts,broad jump_cm
180.4,89.1,21.1,42.0,234.0
173.4,75.1,21.6,53.0,215.0
178.0,74.4,21.9,40.0,235.0
175.9,73.5,25.1,20.0,161.0
173.2,71.0,14.7,55.0,244.0
182.4,86.3,21.5,34.0,221.0
184.6,68.5,17.9,47.0,201.0
183.1,85.9,21.2,57.0,257.0
167.9,73.6,22.5,53.0,244.0
177.8,74.4,17.4,43.0,234.0
178.8,75.3,20.7,57.0,165.0
166.7,47.9,24.9,20.0,151.0
186.4,92.3,8.0,62.0,286.0
176.0,74.4,15.9,40.0,191.0
156.2,60.8,36.0,22.0,136.0
168.1,67.1,22.8,46.0,210.0
157.3,59.0,30.9,31.0,174.0
161.7,53.7,27.1,33.0,144.0
187.0,104.0,27.6,25.0,180.0
171.3,82.8,27.8,61.0,227.0
157.2,58.4,30.6,40.0,160.0
180.3,68.1,14.9,52.0,231.0
172.0,54.3,20.5,37.0,185.0
168.5,56.2,22.0,46.0,189.0
172.5,63.7,6.0,62.0,226.0
172.9,68.2,23.2,32.0,184.0
158.0,53.5,28.5,40.0,153.0
179.6,65.6,13.9,45.0,215.0
174.0,64.9,16.5,52.0,226.0
172.7,71.0,23.4,34.0,201.0
155.5,62.1,30.5,10.0,115.0
151.4,59.6,39.6,6.0,118.0
160.7,54.7,26.6,24.0,179.0
176.8,70.5,15.0,68.0,238.0
168.3,55.3,19.7,36.0,182.0
174.3,66.1,16.4,51.0,234.0
158.4,57.2,32.0,17.0,136.0
164.0,66.5,31.4,39.0,185.0
173.1,77.5,20.2,55.0,221.0
182.0,91.4,22.6,36.0,243.0
171.4,69.0,12.0,50.0,234.0
159.3,52.6,26.9,31.0,168.0
157.0,70.9,36.0,19.0,132.0
158.0,49.7,24.4,57.0,192.0
168.5,66.8,18.9,59.0,229.0
165.4,64.2,30.0,32.0,167.0
152.4,62.4,34.8,2.0,160.0
158.2,57.4,27.1,29.0,148.0
172.6,67.9,20.0,41.0,225.0
159.5,54.8,18.3,19.0,141.0
172.9,73.6,21.0,52.0,214.0
165.9,64.0,15.7,57.0,218.0
180.7,83.16,18.8,55.0,223.0
176.5,66.1,8.1,33.0,204.0
153.1,64.8,35.2,20.0,142.0
166.3,97.42,47.4,18.0,153.0
171.0,82.6,30.6,36.0,185.0
156.2,43.8,22.7,24.0,130.0
178.1,80.4,27.5,45.0,202.0
171.5,81.2,28.5,14.0,158.0
174.5,71.1,18.4,53.0,219.0
178.7,74.8,12.3,59.0,233.0
180.3,74.9,18.3,31.0,214.0
170.2,73.6,21.6,43.0,222.0
152.2,58.5,35.1,20.0,151.0
179.6,76.82,16.4,56.0,246.0
183.9,87.6,29.3,36.0,201.0
169.7,65.6,20.2,42.0,208.0
161.9,59.6,34.4,20.0,151.0
160.2,64.2,35.2,9.0,108.0
162.8,71.0,15.3,62.0,209.0
181.9,73.4,16.4,36.0,200.0
166.3,57.7,16.1,39.0,214.0
161.8,48.1,30.4,6.0,133.0
162.2,64.5,24.4,64.0,197.0
178.6,70.4,22.5,24.0,173.0
157.2,43.5,22.8,30.0,145.0
151.3,56.5,37.9,18.0,148.0
158.0,52.3,26.5,32.0,158.0
173.1,68.6,18.6,32.0,205.0
159.0,45.5,24.5,57.0,197.0
172.0,72.0,21.9,36.0,167.0
157.5,55.6,34.2,23.0,165.0
180.4,76.4,11.7,42.0,243.0
181.0,80.2,18.2,68.0,246.0
174.1,74.5,16.5,58.0,218.0
160.7,59.8,33.3,10.0,101.0
166.5,53.7,25.9,40.0,186.0
159.0,62.7,28.4,21.0,175.0
171.3,52.7,14.1,32.0,184.0
168.6,69.7,27.5,25.0,193.0
179.8,75.4,9.7,60.0,246.0
169.3,66.9,25.4,27.0,161.0
172.9,84.2,27.1,39.0,217.0
174.7,86.1,23.8,57.0,277.0
178.9,88.6,12.5,61.0,294.0
171.4,69.9,27.2,25.0,165.0
169.1,65.1,35.3,40.0,196.0
168.3,69.4,25.1,52.0,211.0
172.0,68.7,26.3,35.0,151.0
157.7,61.1,35.7,0.0,127.0
174.3,79.68,20.5,38.0,217.0
154.7,54.9,33.3,19.0,139.0
179.3,69.8,17.6,23.0,178.0
165.5,56.9,14.9,30.0,169.0
171.1,73.2,21.3,48.0,221.0
174.7,77.5,10.6,56.0,231.0
177.8,63.1,10.8,58.0,258.0
178.0,82.2,29.3,36.0,214.0
176.3,77.2,22.5,45.0,175.0
175.0,88.0,23.6,35.0,204.0
179.5,87.0,19.5,57.0,212.0
184.1,92.3,22.0,53.0,211.0
177.0,69.5,11.2,65.0,279.0
163.2,61.8,21.2,48.0,199.0
171.8,73.0,20.5,40.0,191.0
165.8,53.4,15.7,37.0,154.0
159.9,49.8,32.9,38.0,137.0
172.3,70.7,20.8,50.0,213.0
163.6,58.5,30.3,50.0,177.0
179.7,74.6,20.5,36.0,216.0
169.8,58.6,13.6,26.0,168.0
171.8,87.6,18.5,48.0,285.0
159.1,57.4,24.2,51.0,179.0
182.4,97.3,29.8,41.0,204.0
168.9,59.9,30.1,38.0,171.0
168.8,63.82,18.8,45.0,203.0
167.9,66.8,36.6,12.0,107.0
184.5,88.1,21.3,50.0,250.0
166.5,58.2,27.2,40.0,162.0
172.6,68.5,15.7,50.0,212.0
168.8,56.1,20.6,42.0,181.0
166.2,59.6,16.1,36.0,180.0
171.2,67.7,23.0,47.0,203.0
172.9,69.7,19.4,31.0,211.0
164.5,46.4,26.3,42.0,163.0
164.8,60.74,16.0,51.0,226.0
164.4,67.2,18.7,44.0,210.0
182.9,71.5,16.4,47.0,221.0
166.0,64.4,32.3,42.0,154.0
171.2,74.0,24.5,54.0,193.0
165.2,70.98,28.7,27.0,87.0
173.8,69.9,24.9,48.0,187.0
162.6,59.6,25.7,36.0,164.0
167.4,57.1,19.7,33.0,161.0
153.1,53.0,30.2,17.0,94.0
169.3,67.8,18.0,33.0,172.0
160.8,78.32,38.2,31.0,128.0
174.4,74.7,18.0,47.0,233.0
168.2,67.6,29.3,46.0,187.0
172.7,69.8,27.6,48.0,185.0
168.9,83.2,27.1,56.0,218.0
171.1,64.8,14.8,55.0,241.0
156.9,58.68,37.3,26.0,115.0
159.1,51.9,25.2,52.0,182.0
175.7,61.3,19.6,35.0,198.0
171.8,68.3,10.1,54.0,229.0
180.2,90.9,31.2,38.0,223.0
170.6,76.54,22.0,43.0,218.0
173.2,80.4,24.9,37.0,182.0
164.4,54.6,29.9,34.0,175.0
160.2,67.9,35.15,24.0,144.0
175.3,63.5,18.1,40.0,227.0
159.4,55.7,30.1,30.0,156.0
152.7,48.6,31.5,24.0,142.0
156.9,56.2,34.9,30.0,150.0
162.0,60.0,19.2,23.0,191.0
147.6,61.4,34.9,16.0,134.0
162.0,49.6,21.5,21.0,166.0
177.9,92.5,29.3,35.0,197.0
173.5,53.8,14.7,26.0,203.0
175.9,74.4,19.3,42.0,218.0
167.8,61.1,29.8,35.0,155.0
175.1,76.2,19.7,48.0,240.0
152.4,55.9,33.1,14.0,154.0
161.3,59.8,29.1,7.0,119.0
146.3,49.9,31.9,23.0,114.0
172.2,79.18,28.3,49.0,197.0
168.6,66.8,19.8,48.0,219.0
175.3,80.7,31.3,19.0,194.0
176.6,68.7,15.5,60.0,236.0
164.9,60.0,23.2,45.0,171.0
170.0,75.9,34.4,37.0,211.0
166.4,53.7,31.2,14.0,132.0
168.7,73.2,17.3,30.0,181.0
162.0,53.0,24.7,40.0,155.0
164.0,83.9,33.9,32.0,196.0
176.9,67.8,11.4,46.0,216.0
158.6,62.7,34.6,12.0,132.0
169.0,59.2,15.8,60.0,230.0
168.2,61.3,19.8,43.0,253.0
165.4,61.06,33.5,24.0,122.0
169.6,69.1,24.3,49.0,198.0
163.0,67.2,37.9,5.0,98.0
165.7,57.86,26.4,36.0,171.0
172.7,65.9,19.6,52.0,184.0
174.0,65.2,10.6,60.0,238.0
158.8,47.7,26.7,21.0,144.0
173.7,62.5,22.7,52.0,190.0
160.5,54.46,25.5,39.0,163.0
175.0,81.3,18.5,45.0,202.0
160.6,53.3,17.4,71.0,241.0
174.2,70.3,24.7,39.0,215.0
176.2,68.8,26.1,48.0,172.0
179.8,83.0,15.8,43.0,188.0
154.5,84.5,42.2,12.0,165.0
161.7,57.6,23.6,56.0,173.0
165.0,78.7,31.7,25.0,190.0
164.2,55.0,27.2,34.0,161.0
175.5,72.82,13.4,45.0,201.0
178.4,80.3,26.9,42.0,206.0
173.2,75.5,18.0,46.0,215.0
161.8,55.1,17.2,51.0,181.0
165.9,76.4,24.6,34.0,205.0
162.7,54.4,26.9,48.0,140.0
174.0,64.4,16.2,40.0,230.0
174.2,84.3,30.8,55.0,184.0
173.5,82.1,25.7,44.0,209.0
171.4,76.5,31.1,25.0,189.0
168.4,67.6,17.8,65.0,223.0
153.9,53.0,34.2,20.0,148.0
183.1,82.0,25.4,49.0,214.0
175.0,81.7,31.9,29.0,177.0
171.3,71.9,19.4,48.0,201.0
159.8,53.3,23.8,39.0,169.0
168.8,62.1,22.5,41.0,196.0
177.2,84.5,27.1,52.0,190.0
170.7,66.4,16.5,55.0,230.0
164.9,57.1,33.3,27.0,117.0
166.1,72.7,22.6,38.0,180.0
176.2,56.9,21.1,42.0,180.0
175.0,76.9,24.9,36.0,198.0
158.6,55.9,29.0,42.0,166.0
182.5,79.6,13.0,64.0,223.0
156.9,52.5,28.0,27.0,141.0
182.8,70.6,21.2,18.0,190.0
176.8,80.9,22.7,45.0,206.0
171.7,73.8,24.6,25.0,187.0
167.2,72.5,13.4,55.0,246.0
177.8,69.9,19.6,37.0,205.0
158.2,47.8,22.4,46.0,156.0
165.4,58.7,26.2,55.0,174.0
172.1,70.5,20.2,39.0,181.0
157.7,74.8,49.2,4.0,125.0
175.9,64.9,18.1,58.0,211.0
157.8,62.2,20.0,49.0,195.0
162.0,73.2,40.5,4.0,90.0
163.9,57.6,20.0,33.0,182.0
175.2,75.0,26.0,29.0,198.0
183.4,77.3,21.2,34.0,238.0
176.6,78.6,22.0,55.0,230.0
169.1,66.7,26.2,27.0,171.0
178.3,76.0,14.9,47.0,222.0
159.7,57.8,35.1,30.0,126.0
178.5,74.6,16.4,43.0,155.0
166.0,83.6,29.2,53.0,211.0
174.4,86.5,26.0,30.0,206.0
177.1,68.3,14.6,50.0,256.0
163.5,53.8,17.3,44.0,193.0
180.6,61.9,9.8,35.0,237.0
165.5,64.9,25.7,57.0,197.0
165.6,65.6,10.8,43.0,210.0
176.4,75.1,24.3,32.0,193.0
158.8,52.2,28.4,27.0,141.0
175.3,76.4,20.8,38.0,192.0
154.5,61.5,37.2,23.0,116.0
173.5,64.28,13.3,52.0,211.0
168.6,56.2,23.3,49.0,174.0
177.4,75.5,17.3,69.0,276.0
179.6,67.6,17.0,44.0,175.0
153.3,61.5,39.3,8.0,140.0
159.0,50.8,28.5,32.0,148.0
174.0,75.9,17.8,43.0,230.0
155.9,53.5,31.2,25.0,115.0
164.0,62.6,28.9,30.0,151.0
172.4,59.1,10.8,56.0,203.0
182.5,80.04,17.9,37.0,230.0
177.8,90.5,27.1,38.0,206.0
175.4,70.4,17.3,60.0,250.0
155.2,37.4,12.7,36.0,183.0
173.3,57.9,12.8,44.0,212.0
168.0,76.2,25.0,28.0,218.0
151.0,56.4,36.6,0.0,137.0
163.2,55.7,28.5,30.0,161.0
155.3,48.7,26.1,0.0,107.0
171.5,75.36,27.1,51.0,217.0
171.8,94.2,34.4,38.0,169.0
181.1,72.12,19.4,42.0,214.0
159.6,49.1,29.9,43.0,173.0
176.4,89.8,16.8,60.0,232.0
168.9,68.5,16.4,52.0,234.0
160.1,45.6,9.7,23.0,172.0
160.0,56.1,22.49118,31.0,180.0
158.3,53.3,20.0,48.0,173.0
180.1,87.3,20.0,51.0,239.0
181.5,98.5,22.8,56.0,205.0
159.6,74.6,44.8,13.0,114.0
166.2,56.1,32.7,31.0,137.0
178.6,89.7,21.0,53.0,223.0
175.0,76.4,22.6,57.0,221.0
156.9,49.2,21.1,40.0,165.0
183.2,74.4,9.5,64.0,218.0
166.4,59.2,34.1,22.0,130.0
155.2,64.6,32.6,28.0,150.0
155.6,58.0,31.8,21.0,143.0
163.5,46.98,22.7,47.0,165.0
182.5,75.2,11.2,49.0,221.0
177.1,70.3,17.2,66.0,236.0
156.3,58.5,38.2,17.0,90.0
183.6,76.82,16.3,55.0,220.0
166.0,79.5,34.0,39.0,200.0
157.3,52.5,28.8,22.0,148.0
174.4,65.3,16.3,46.0,222.0
152.9,49.2,30.4,18.0,142.0
145.7,49.7,28.7,9.0,118.0
169.7,97.26,33.6,24.0,200.0
157.0,54.0,23.2,39.0,140.0
150.7,52.6,37.1,2.0,144.0
176.3,64.7,13.09016,54.0,226.0
166.8,66.5,16.8,39.0,232.0
161.4,72.0,42.7,11.0,154.0
181.0,76.1,14.8,40.0,217.0
166.7,68.2,22.5,31.0,186.0
171.1,84.2,20.7,51.0,210.0
154.6,53.5,25.6,19.0,84.0
176.3,73.58,13.9,61.0,235.0
173.7,70.0,20.2,48.0,184.0
158.5,53.0,30.3,16.0,125.0
176.4,73.9,17.54,47.0,212.0
172.0,61.8,8.0,58.0,192.0
161.0,47.8,22.3,39.0,186.0
153.4,54.76,28.5,33.0,150.0
172.2,66.9,17.6,39.0,224.0
170.0,80.2,28.0,28.0,188.0
172.0,69.1,19.8,22.0,188.0
175.7,67.9,17.6,60.0,233.0
171.9,75.7,21.7,59.0,244.0
180.0,76.2,19.3,49.0,201.0
167.0,57.0,24.0,17.0,175.0
158.7,56.7,30.1,47.0,163.0
166.2,63.8,18.0,64.0,208.0
163.2,51.84,23.0,43.0,172.0
165.2,54.1,27.0,35.0,158.0
173.5,66.4,15.3,44.0,189.0
179.4,80.7,21.6,47.0,224.0
159.9,72.1,38.2,0.0,108.0
178.6,91.2,30.5,48.0,208.0
160.5,49.7,21.6532,57.0,189.0
165.0,68.6,38.6,14.0,94.0
171.6,73.4,17.0,48.0,267.0
151.6,48.1,18.6,44.0,130.0
171.8,63.8,16.6,38.0,215.0
157.1,45.4,19.8,43.0,190.0
173.0,73.8,19.9,53.0,253.0
179.1,86.1,24.6,50.0,224.0
171.0,71.6,24.6,46.0,213.0
163.8,55.66,31.2,27.0,162.0
180.4,86.5,24.2,42.0,214.0
165.7,76.6,26.0,49.0,199.0
164.6,57.1,22.4,48.0,198.0
164.5,61.0,34.1,29.0,148.0
174.9,70.5,15.1,61.0,219.0
175.9,79.6,24.5,35.0,203.0
166.7,67.1,20.4,61.0,222.0
168.5,64.2,26.2,18.0,164.0
162.1,52.9,22.7,41.0,160.0
159.3,60.9,31.6,19.0,104.0
180.5,79.7,16.6,46.0,239.0
172.7,71.8,15.7,57.0,254.0
166.4,67.6,31.3,40.0,180.0
167.6,52.0,16.9,20.0,180.0
168.2,63.0,25.9,47.0,193.0
159.0,57.4,33.9,40.0,144.0
166.1,76.0,21.2,58.0,240.0
163.1,69.0,20.5,51.0,260.0
154.9,60.1,34.4,0.0,78.0
167.2,73.3,24.4,31.0,189.0
180.6,70.3,19.3,45.0,240.0
164.2,58.86,31.7,26.0,163.0
177.5,80.5,26.6,25.0,196.0
166.5,59.0,14.4,39.0,213.0
174.2,61.12,28.7,43.0,178.0
179.0,71.6,13.2,50.0,252.0
174.1,66.9,18.4,47.0,222.0
163.6,78.6,40.1,11.0,135.0
171.5,73.18,11.4,47.0,228.0
164.6,70.8,20.8,56.0,212.0
179.2,64.7,12.9,46.0,239.0
181.6,79.6,25.6,43.0,229.0
170.9,72.3,20.5,55.0,241.0
178.0,71.6,24.8,30.0,198.0
168.8,59.8,19.3,35.0,194.0
158.0,61.9,34.2,38.0,126.0
173.7,82.1,21.8,51.0,238.0
150.3,51.4,25.6,8.0,115.0
163.3,57.1,29.1,25.0,149.0
171.4,79.9,24.2,54.0,214.0
170.0,71.0,19.9,71.0,234.0
165.3,68.6,32.1,17.0,110.0
166.0,65.6,21.6,49.0,246.0
176.7,73.1,14.4,38.0,230.0
154.3,49.2,31.4,12.0,124.0
172.7,78.0,19.6,41.0,215.0
179.1,83.0,20.0,56.0,240.0
167.7,56.2,11.2,44.0,175.0
157.1,64.6,36.9,6.0,129.0
163.8,74.1,35.4,37.0,152.0
176.3,73.5,20.2,55.0,214.0
160.9,63.6,35.2,52.0,179.0
166.1,63.1,27.1,43.0,154.0
175.3,74.2,17.6,44.0,237.0
150.7,50.2,27.5,8.0,122.0
173.1,69.4,23.6,40.0,215.0
170.9,68.8,22.9,42.0,180.0
177.2,76.3,12.2,41.0,198.0
167.1,57.9,24.8,24.0,170.0
173.6,70.8,14.4,56.0,255.0
174.0,70.8,21.5,36.0,216.0
168.1,69.1,21.5,31.0,185.0
167.9,66.1,16.9,59.0,259.0
181.1,84.4,18.0,45.0,206.0
154.1,50.4,32.0,25.0,141.0
172.3,71.8,17.0,43.0,211.0
153.5,50.78,33.7,10.0,160.0
176.7,76.5,18.8,56.0,228.0
175.6,95.4,46.2,15.0,62.0
158.2,58.6,30.7,17.0,155.0
168.2,72.0,26.0,47.0,189.0
175.1,75.3,29.4,24.0,202.0
169.9,73.1,19.2,37.0,249.0
175.3,88.2,26.7,57.0,220.0
159.0,53.3,25.9,34.0,165.0
170.0,62.0,17.1,50.0,230.0
173.7,66.6,16.5,39.0,207.0
156.5,48.9,15.8,22.0,190.0
164.3,86.0,33.6,23.0,127.0
178.6,65.6,16.4,54.0,220.0
168.0,74.9,23.3,41.0,211.0
148.2,53.1,33.0,31.0,119.0
175.8,75.2,17.7,44.0,246.0
164.0,63.6,25.1,57.0,207.0
150.0,62.3,34.4,2.0,80.0
165.7,86.0,42.1,29.0,133.0
179.2,77.3,17.3,46.0,215.0
162.6,64.3,36.0,47.0,161.0
175.7,71.8,12.8,62.0,262.0
179.1,74.1,18.8,55.0,229.0
154.3,45.6,17.9,7.0,129.0
164.6,67.1,19.3,65.0,257.0
177.3,82.7,23.8,51.0,197.0
157.8,82.1,46.1,19.0,126.0
164.5,44.0,20.0,53.0,160.0
182.0,80.6,12.1,60.0,246.0
173.8,80.7,21.7,64.0,186.0
163.4,58.7,23.3,34.0,179.0
171.7,59.9,24.9,56.0,211.0
170.2,70.5,27.6,43.0,240.0
164.8,72.7,31.4,38.0,155.0
163.9,66.2,31.2,26.0,196.0
169.2,65.1,15.9,40.0,226.0
165.4,68.7,24.5,40.0,206.0
171.1,72.8,19.1,65.0,225.0
151.3,48.5,24.2,25.0,131.0
168.9,79.66,16.5,55.0,245.0
176.2,70.7,15.5,31.0,197.0
192.0,99.5,26.9,41.0,138.0
155.6,55.9,31.4,56.0,168.0
157.3,51.8,31.0,30.0,144.0
174.2,75.6,15.6,57.0,240.0
166.3,63.7,23.9,41.0,178.0
162.1,60.3,28.5,35.0,156.0
166.3,67.2,22.4,49.0,241.0
170.0,58.2,9.4,53.0,186.0
168.0,62.6,14.3,50.0,224.0
167.7,54.7,15.4,48.0,231.0
157.6,50.1,23.9,52.0,160.0
171.0,57.9,22.5,39.0,155.0
177.5,79.5,23.0,62.0,208.0
165.1,56.2,29.1,34.0,164.0
172.1,65.74,22.3,26.0,214.0
166.9,65.6,18.3,46.0,230.0
185.1,81.3,14.1,54.0,257.0
169.3,77.7,23.3,27.0,217.0
151.5,49.6,32.4,36.0,102.0
167.9,69.7,22.5,60.0,206.0
158.0,52.4,30.9,34.0,170.0
168.0,65.2,13.4,54.0,252.0
174.9,71.0,14.6,64.0,232.0
151.9,59.6,39.2,19.4,136.0
168.6,65.3,21.3,30.0,195.0
168.7,55.0,21.4,35.0,136.0
176.8,85.9,24.9,49.0,226.0
165.0,70.5,35.6,39.0,154.0
180.0,69.5,17.2,55.0,204.0
174.8,73.2,23.4,52.0,198.0
179.1,78.6,25.1,50.0,223.0
169.1,86.0,19.2,57.0,247.0
171.0,78.7,20.0,50.0,197.0
166.1,64.1,23.5,52.0,210.0
170.3,66.3,9.3,51.0,247.0
168.5,76.9,18.9,59.0,235.0
163.8,66.1,17.3,65.0,202.0
171.6,65.6,21.3,43.0,120.0
154.3,49.0,25.7,43.0,168.0
173.7,76.3,21.8,31.0,187.0
169.2,66.8,13.8,54.0,225.0
162.8,58.5,14.6,45.0,203.0
159.2,47.9,26.5,26.0,141.0
180.0,71.3,20.0,49.0,248.0
183.1,73.9,17.0,43.0,241.0
154.2,59.1,35.5,19.0,120.0
163.1,52.62,12.8,53.0,216.0
173.2,80.1,24.3,49.0,234.0
164.2,70.5,22.9,53.0,193.0
172.8,64.7,18.9,47.0,243.0
159.9,49.7,25.4,11.0,145.0
171.6,66.8,14.2,58.0,216.0
174.8,67.6,18.8,42.0,192.0
163.5,69.5,22.3,39.0,190.0
171.4,73.9,10.2,60.0,269.0
176.1,64.76,17.6,32.0,174.0
168.1,67.2,18.7,27.0,186.0
163.5,71.1,28.6,35.0,204.0
187.7,86.2,19.5,50.0,211.0
154.0,60.7,33.7,31.0,151.0
169.0,73.5,28.7,41.0,204.0
157.7,52.7,26.1,3.0,112.0
164.0,59.14,31.1,20.0,155.0
180.6,77.46,7.6,61.0,252.0
174.3,57.8,18.5,23.0,162.0
177.9,59.7,13.1,70.0,247.0
160.7,58.4,25.3,19.0,133.0
165.9,66.7,36.0,22.0,124.0
172.1,63.8,14.3,50.0,186.0
180.2,87.0,22.0,42.0,227.0
172.1,76.6,21.4,46.0,186.0
167.9,61.8,25.5,30.0,182.0
157.7,52.5,31.5,8.0,138.0
175.0,78.6,25.9,47.0,211.0
174.4,56.8,20.3,54.0,205.0
168.3,56.3,20.9,56.0,192.0
173.6,86.0,27.3,45.0,215.0
173.2,73.7,20.5,44.0,209.0
168.1,84.8,34.0,41.0,183.0
176.2,73.16,17.0,56.0,246.0
162.6,53.7,29.2,31.0,151.0
150.2,62.1,43.3,4.0,117.0
168.1,74.3,22.7,53.0,233.0
166.6,62.1,17.6,31.0,186.0
167.7,66.6,18.1,57.0,218.0
172.9,92.9,32.0,34.0,191.0
171.2,69.1,25.4,24.0,126.0
174.8,86.0,24.2,40.0,195.0
159.0,61.0,34.5,19.0,134.0
174.4,76.8,26.9,47.0,235.0
166.0,58.38,20.8,58.0,194.0
151.6,58.0,37.2,0.0,84.0
168.8,66.02,19.0,52.0,202.0
169.6,70.7,18.6,50.0,217.0
164.1,49.1,30.5,16.0,150.0
175.6,75.4,23.5,48.0,198.0
174.1,86.4,23.6,43.0,223.0
176.9,72.3,18.0,40.0,220.0
161.6,59.3,17.6,44.0,184.0
175.6,72.1,15.5,40.0,228.0
178.8,84.3,21.7,34.0,203.0
173.0,70.8,16.0,51.0,246.0
173.0,83.8,34.9,35.0,189.0
148.6,57.8,36.7,14.0,120.0
176.8,84.8,28.5,39.0,183.0
173.5,75.2,19.9,26.0,196.0
155.0,53.5,36.1,17.0,147.0
171.4,85.7,28.7,40.0,215.0
158.6,53.8,16.6,30.0,166.0
169.3,58.4,23.8,27.0,169.0
172.2,67.0,13.2,50.0,176.0
176.1,71.6,23.3,50.0,230.0
160.8,62.5,30.9,15.0,141.0
168.8,60.2,22.6,35.0,162.0
179.0,79.4,20.1,42.0,207.0
171.7,71.0,16.8,58.0,239.0
157.6,56.9,36.5,20.0,121.0
171.1,66.3,16.7,56.0,235.0
158.8,56.8,19.4,55.0,225.0
171.5,61.1,16.9,46.0,199.0
166.3,47.6,25.3,42.0,172.0
172.4,61.8,17.0,36.0,236.0
159.1,52.9,32.5,21.0,140.0
163.5,55.0,28.9,29.0,150.0
176.3,69.2,14.1,53.0,216.0
157.9,52.9,23.5,47.0,170.0
154.9,55.6,26.1,41.0,163.0
157.6,46.3,23.7,6.0,129.0
160.4,59.3,20.3,13.0,150.0
180.0,78.0,21.0,42.0,230.0
157.7,47.1,21.7,56.0,185.0
165.3,77.1,21.1,58.0,249.0
157.7,59.6,31.4,36.0,175.0
159.9,45.7,24.1,50.0,178.0
